isbn,average_rating,ratings_count,text_reviews_count
60934913,4.07,2488,266
8466308954,4.07,11,0
156001268,4.05,710,64
014044789X,4.05,48223,764
393058107,4.05,30,8
806128941,4.27,229,16
806114568,4.32,32,3
814317324,4.36,78,8
674992555,4.02,98,5
520242602,4.12,432,14
674990471,4.52,61,4
674990463,4.42,813,14
814326110,4.08,12,0
806115602,3.71,7,1
069101597X,4.62,12,0
195143108,3.64,36,5
195143736,3.64,264,14
130158852,4.07,14,0
1857150600,3.86,30,2
226301192,3.79,122,16
521315794,4.12,32,3
521011760,3.4,10,1
521479347,3.73,10,0
1585424838,3.42,1416,217
767907434,4.06,2799,166
743233212,3.95,11990,831
743270606,3.61,10679,899
393061310,4.03,4356,404
865475091,3.87,633,60
385486804,3.98,800349,18198
785268839,3.92,55106,1503
743246985,4.26,73572,4280
044657967X,4.01,20909,944
515142395,3.78,2456,115
439227143,3.86,274649,7203
037582538X,4.17,4541,378
1591583667,2.67,9,2
805063897,3.63,168362,5762
394417755,4.04,15,3
140268685,4.04,313,27
140137343,4.08,51,2
014025157X,4.45,4244,99
192802380,4.26,2399,253
143036238,4.26,1821,210
486440915,4.26,1146,166
1593083246,4.26,1628,171
1400032806,4,7481,1022
375752676,3.71,330,40
385494785,4.17,351406,11701
067978361X,4.01,1910,136
374292795,3.68,87570,2800
8427032226,3.68,38,0
898868092,4.07,43,1
590422677,3.65,273,36
451529308,4.07,1479727,18458
1402714580,4.07,1395,131
439101360,4.07,462,45
517221160,4.07,166,9
1931082731,4.33,3124,87
1904633277,4.07,83,9
743487605,3.84,131,28
1593081383,3.84,1343,183
158663352X,4,10,1
1593080557,3.84,730,88
1857151437,3.84,39,9
067179227X,4.16,9718,216
1405228180,4.21,1432,61
517093391,4.3,32,2
375760059,4.01,1235,146
451530047,3.99,355,17
671882368,3.85,4873,501
670030775,3.82,552,81
140436146,3.83,13212,394
465031269,3.71,4532,278
60183071,4.06,59,1
822533898,3.84,127,10
043932162X,4.4,11515,139
826452329,3.58,78,9
747584664,4.57,1213,78
765342510,3.66,1625,85
765342537,3.81,6146,150
765342529,3.43,1485,76
413772780,2.67,3,1
1420926713,3.8,3,1
198144962,3.85,76,6
521834341,3.75,3,0
1573921335,3.77,56,4
198145047,5,0,0
1853991147,3.86,7,1
1883011086,4.47,1107,48
1883011078,4.5,1324,66
375415025,4.45,241,11
394758269,4.08,13233,570
394757653,4.16,4952,162
394758285,4.01,103400,4076
394757688,4.22,26389,1619
812970403,3.6,983,130
452286875,3.82,214,31
1421501562,3.97,250,12
056352474X,4.22,10,2
067003472X,3.89,10135,330
068482471X,4.04,13563,235
142003840,3.83,2324,88
262540371,3.95,573,11
465073514,3.82,1555,63
387987207,3.61,21,3
262540428,3.92,515,37
553345842,4.14,4786,92
553103741,4.17,817,63
553804367,4.22,24035,828
055380202X,4.15,29607,645
762419229,4.07,1682,51
465081983,4.29,1469,22
039332446X,3.94,257,10
380707632,4.02,674,30
691050848,4.09,989,40
60977108,3.83,4774,178
713484071,4.31,51,5
316281336,4.13,371,12
452282314,3.96,429,39
452278872,3.94,317,14
451191153,3.87,271754,10063
446618764,4.24,69,6
60793198,3.1,31,2
1400051576,4.23,1392,136
312425023,3.58,4462,446
312424086,3.91,14769,658
316172324,3.93,4254,355
849945119,4.17,13334,502
743422074,4.39,169,22
517147688,4.55,300,31
452286530,3.08,57720,3535
517118297,4.55,267,24
192832972,4.16,2278,69
192802631,4.14,441462,11308
097212179X,3.79,1442,108
743564367,3.77,393,77
764586602,2.83,4,0
679731369,3.66,9373,606
140435824,3.62,378,31
192836226,3.83,105,7
140448004,3.69,3190,150
140447970,3.83,13499,388
226735192,3.8,5,1
312422156,4,540349,19548
743270754,4.28,133840,6118
743223136,4.06,282649,5325
1574671324,3.5,20,5
142437115,4.14,275,28
393311333,4.05,2622,78
142437786,4.17,57,0
076455302X,3.65,10,0
471773867,3.64,37,9
452281326,4,4797,124
684842238,4.16,144,10
684839377,4.07,197,7
72920963,3.77,123,13
938497197,3.62,55,7
671708635,4.1,2505,233
743250974,4.24,1874,114
671887173,3.9,336,26
1932073205,4.14,39947,1622
915811235,4.15,156,13
425179613,3.72,35050,1833
306814552,3.67,360,26
671869205,4.12,71764,1937
140009691X,4.2,3993,217
067960085X,3.89,5658,699
345478207,3.58,585,78
449007383,3.74,623,68
679745645,3.8,10635,656
073933364X,4.07,563,133
684868768,3.96,2769,200
446671827,4.07,1827,154
813527406,4.02,48,5
684842572,3.89,2842,182
940450313,4.3,446,29
1883011949,4.25,55,9
940450534,4.22,67,9
486420493,3.95,749,62
689304579,4.08,41,9
440802504,3.69,40,12
307236013,3.93,3986,85
1597770078,3.98,58,15
618056998,4.15,4689,171
618083553,4.38,237,3
395291305,3.98,4685,74
618574999,4.5,232,9
618009361,3.85,5526,225
140272925,4.05,8461,369
670910619,3.8,2737,161
140271570,4.01,3920,132
198111843,4.1,104,7
815319665,3.68,19,2
671792768,3.98,3460,482
671447548,4.12,23064,1191
684813637,4.06,1852,285
844662925,4.11,14739,1199
743262131,4.2,12178,1042
451188454,4.19,140014,1753
761452427,3.27,117,19
8466305130,4.19,26,2
9626343583,3.5,67,17
763630187,3.71,161,16
143058096,3.5,8858,885
1593080182,3.5,1260,207
415247713,3.61,50,7
192781537,3.82,39,5
919123708,3.93,23,4
019274156X,3.82,6,0
252063023,3.33,0,0
700607420,4.28,16,1
515139734,3.92,2790,159
515121495,3.96,12534,141
812967054,3.86,8879,693
1854583522,3.57,38,6
862921473,3,1,1
674996232,4.03,33,1
393977617,3.76,259,30
141439971,3.89,3094,301
743487737,3.89,372,36
157174102X,3.59,68,6
439436540,3.89,284,35
1842124021,4.14,875,33
812970756,3.93,80,11
141441119,3.42,856,111
307264890,4.12,1338,113
824512596,4.34,8228,410
1400083117,4.15,2594,403
156007754,4.11,107455,7778
156001411,4.29,799,107
156010593,3.89,11016,734
156013037,3.89,3331,242
156005204,3.92,6184,284
156028794,3.84,7649,548
156004011,3.8,308,30
1860465021,4.02,3826,191
8466312803,3.89,1295,106
8466314741,3.8,1744,124
846630679X,3.84,842,69
156006243,3.81,331,62
9587043642,4,2862,306
089009389X,4.42,1432,45
000100039X,4.23,184293,5418
394448049,4.03,2094,104
143036386,3.63,488,39
141182679,3.63,5575,502
375711163,4.11,2732,105
382960226X,5,1,0
679725407,3.93,1284,90
143034545,3.85,3832,178
807744689,4,54,4
195137892,3.89,125,13
71460829,4.11,942,59
316346624,3.97,633037,11898
786887176,3.98,4600,88
60521996,3.99,32079,752
141439564,3.77,14228,668
393960692,3.77,573,38
664241581,3.8,108,13
60935464,4.27,10524,898
60888695,4.27,697,180
61205699,4.27,271,34
761501665,4.02,66,4
486287599,4.05,13562,141
1416500391,3.79,2161,50
1556434952,4.67,3,0
192834428,3.59,85,12
1931082308,4.28,25,4
193108288X,4.63,27,3
1883011094,4.22,198,7
140424385,3.49,168559,2365
019283360X,3.49,257,22
014042234X,3.49,792,59
812000390,3.8,73,5
198711557,4.02,84,4
140444084,3.61,70,6
671475029,3.49,36,5
395290317,4.18,7760,152
140150811,3.86,70,8
142001619,3.74,50335,3012
689834195,4.2,1178,173
618446885,3.52,4411,629
039475526X,4.13,856,105
553580078,3.73,9344,995
805202412,4.29,9254,194
300115865,4.51,39,5
1568813074,4.5,17,2
074754655X,3.83,588,46
1558745157,4.1,52028,2513
805061835,3.83,1397,128
7179812,3.88,442,38
415283043,3,2,0
684832402,4.16,6599,635
60838655,4.08,167321,4711
1565848268,4.08,39,3
1565847253,4,22,0
500203474,4,675,12
822318644,4,206,9
039574010X,3.92,81,12
006091307X,3.69,57011,3332
425181642,4.09,6368,321
307237206,4.1,717,112
094089548X,3.93,448,18
440936853,3.76,3976,163
877887268,4.12,496,48
671686909,4.25,367,38
877880204,3.98,235,4
62545035,4.21,5236,506
521639875,4.04,388,23
385092105,4.01,843,42
1419154079,3.98,32,0
140433392,3.98,10147,301
907129072,4,9,2
195114159,3.79,3664,58
140015068X,3.79,3,0
60734019,4,1811,152
439271711,5,4,1
618654798,3.76,2018,294
525464824,4.27,99,27
1559704640,4.25,1771,99
078690206X,3.46,38,1
452284937,3.88,1162,127
385415605,3.94,29,4
052594978X,3.36,10919,1113
452283205,3.58,20321,1214
452284449,3.66,26029,1588
3471772537,3.58,6,1
1857093313,3.64,42,0
1421506130,4.42,19945,76
1591164419,4.22,140403,1063
1421506122,4.38,10356,79
1421502712,4.36,8773,84
1421504030,4.36,8948,86
4088736214,4.43,227,38
4088736710,4.39,452,13
4088736524,4.43,400,11
373028601,3.25,3,1
307277763,4.02,1124,191
3257228007,4.02,9674,343
747534934,3.57,24,3
140105832,3.68,6254,423
747566755,3.84,2061,104
4088732138,4.22,41,3
2723442276,4.22,54,4
440410258,3.67,114,17
440229359,3.93,1177,218
440419670,4.44,557,46
306801450,3.92,25,2
156001454,4.26,5437,830
385321988,4.01,76,12
375757325,3.67,209122,4131
141439823,3.67,1507,142
393964523,3.67,585,63
689844085,3.67,204,32
1587263882,3.67,311,18
486404889,3.72,577,36
520238958,3.85,5,0
1555176801,3.57,242,29
1883011884,4.06,33,3
142437174,3.82,1049912,11391
486443221,3.82,144,17
375757376,3.82,687,37
393020398,3.82,185,18
486406644,4.2,970,53
520242459,3.86,513,71
553211951,4.28,5710,142
60955422,4.05,2871,209
940450739,4.39,207,10
60594527,3.92,11892,955
1589199502,3.96,715,44
671019872,3.68,1817,123
517189607,4.13,764134,11796
451528832,4.13,1739,116
1402713193,4.33,1653,76
142437050,4.13,517,13
142437018,4.2,238192,4392
879237902,3.8,23,7
60277408,4.3,150,23
465081452,4.32,5899,475
465002609,4.32,328,43
1594030863,4.38,2579,301
465081436,4.14,1546,122
465037380,4.39,766,47
465081428,4.31,1797,166
744520053,3.91,65,9
916856593,4.45,22,0
1893007162,4.45,495,30
960989862,4.36,213,10
395530075,3.9,39369,80
618479031,4.11,580,41
374529388,3.96,8624,409
374525757,4.22,712,51
374504849,3.89,8073,319
878054901,4,4,0
374521026,3.65,662,50
822219751,3.61,67,6
345833422X,3.88,0,0
1420925431,3.91,128596,3422
451521412,4.1,2450,113
811202100,3.51,6,0
141441488,3.48,1665,125
486424545,3.96,54765,1437
393310329,4.03,21997,1005
156286513,4.14,141,11
141183357,3.96,368,26
385314698,3.59,2699,336
1594200939,3.97,3259,187
439847796,4.11,1864,117
439651417,4.21,1928,85
439651409,4.19,2050,76
380777584,4.25,8,0
1860460585,4.33,254,35
750000333,4.16,14,4
750005947,4.16,8,1
225393321X,4.33,69,10
750012633,4.08,21,0
750002468,4.26,112,7
750002425,4.09,139,6
1420926845,3,19,0
300044887,4.17,114,11
486427595,3.74,34,5
674993381,4.57,14,0
872203603,3.77,100,9
1420927329,3.89,4577,126
226307751,4.29,327,12
312304358,4.17,91395,8192
1416600302,4.11,592,49
1840466383,3.54,26,1
553383825,3.97,430,23
743217187,3.97,12839,375
007001356X,3.97,10,1
60816198,3.77,1099,46
61161535,3.93,15345,1075
60951303,4.23,608,38
60951273,3.72,514,33
60591714,3.84,1189,51
60535032,3.71,17962,778
571219764,3.43,2359,146
3518399608,4.33,9,0
750002441,4.02,13,1
399239987,4.08,382,85
679643354,4,768,96
345448197,3.17,191,26
140275010,3.91,970,104
345455827,3.78,2046,248
345448146,3.87,51,2
140298517,3.85,3457,329
399234764,3.91,127,25
189044717X,0,0,0
613359607,4.47,142,12
141185473,4.27,856,146
321344758,4.25,7736,641
60987324,3.62,15798,612
067976397X,3.98,62954,1791
156030489,3.4,1084,131
60984384,3.72,1170,117
60184124,3.95,138,29
815412185,4.19,99,16
60837551,4.23,533,66
60510854,4.37,5991,120
380710846,4.25,5423,157
743286421,3.52,1182,175
517201666,3.67,39,7
671024183,3.95,3478,191
671024205,4.29,4291,119
068809368X,4.11,311,49
038071082X,4.3,9623,199
380711966,3.81,153,17
764586688,3.69,24,2
1401308589,3.93,520051,16562
99450259,3.88,16588,1606
99456761,3.88,6124,754
385662238,3.88,34,6
767904419,3.29,981,69
767904435,3.95,7763,362
767904427,3.91,10384,637
061870986X,3.78,14655,1211
140259104,3.45,945,61
446696129,4.11,154933,3141
446696137,4.03,125693,3229
044669651X,3.8,68228,2425
446694851,4.03,36784,2658
446615862,3.99,126629,5295
8496284530,4.15,31,3
446691798,3.84,1596,157
446606812,3.96,2755,218
446693804,4.17,555995,10173
142000205,3.7,37936,1192
446676071,3.96,201488,3496
067003777X,3.71,32370,4212
767920740,4.03,82,9
030726422X,3.52,790,99
312349486,4.15,81381,1925
671524097,3.86,2792,73
074321076X,4.08,317,33
440420628,3.85,51,7
440420636,3.77,41,7
440420598,3.54,56,7
307264122,3.43,26,5
1421505479,4.06,612,8
898705975,4.59,641,63
1421505487,4.09,715,18
087123596X,4.08,364,21
974607894,3.78,5856,310
767916913,3.41,910,74
373706405,3.73,13,2
1903582415,3.5,4,0
717801330,3.89,118,9
055323370X,4.1,38411,1366
195421167,4.24,184,22
553565923,3.83,928,27
786180307,4.23,63,8
770422454,3.88,3760,248
553609416,4.43,98611,1447
770422470,3.9,6082,188
553212419,4.47,24087,554
393059162,4.64,1411,54
039305800X,4.53,2203,32
471648795,4.22,2037,71
1598870297,3.96,18,4
871139472,4.26,29,6
743564677,4,7,2
448409577,4.18,119,8
517174960,4.33,2184,87
074353395X,3.5,12,1
470038322,3.77,114,15
764525905,3.77,925,92
449005577,3.38,948,27
159052201X,4.26,5044,316
385732554,4.13,1585589,56604
64401685,3.83,2201,218
449904962,4.11,1760,135
156011654,3.56,1426,201
330488155,3.42,406,64
964561107,3.17,481,58
1400097029,3.51,19308,1803
307263118,3.51,586,103
375725237,3.71,3202,278
679736859,3.66,387,29
679737995,3.65,583,60
037572530X,3.66,974,81
330371851,3.61,33,3
143037749,3.73,53736,3657
689875347,3.79,189652,8207
452287650,3.37,130,16
439228905,3.96,208684,3358
60572159,3.94,31134,2662
142004200,4.11,170,21
143039105,4.17,1122,69
142437301,4,25490,1585
