author_id,name
0,J.K. Rowling
1,Mary GrandPré
3,W. Frederick Zimmerman
4,Douglas Adams
5,Stephen Fry
6,Bill Bryson
7,J.R.R. Tolkien
8,Alan  Lee
9,Chris   Smith
10,Christopher  Lee
11,Richard Taylor
12,Jude Fisher
13,Dave Thomas
14,David Heinemeier Hansson
15,Leon Breedt
16,Mike Clark
17,Thomas  Fuchs
18,Andreas  Schwarz
19,Gary Paulsen
20,Donna Ickes
21,Edward Sciranko
22,Keith Vasconcelles
23,Molly Hatchet
24,Dale Peck
25,Angela Knight
26,Sahara Kelly
27,Judy Mays
28,Marteeka Karland
29,Kate Douglas
30,Shelby Morgen
31,Lacey Savage
32,Kate Hill
33,Willa Okati
34,Delia Sherman
35,Patricia A. McKillip
36,Zilpha Keatley Snyder
37,Kate Horsley
38,Philippa Carr
39,Edward P. Jones
40,Kevin R. Free
41,Satyajit Das
42,Mark Smylie
43,John McPhee
44,William Howarth
45,Wendy Wasserstein
46,Heidi Hayes Jacobs
47,Heidi Boyd
48,Heidi Baker
49,Rolland Baker
50,Johanna Spyri
51,Beverly Cleary
52,Angelo  Rinaldi
53,Heidi Murkoff
54,Sharon Mazel
55,Arlene Eisenberg
56,Sandee Hathaway
57,Mark D. Widome
58,Heidi Fleiss
59,Libby Keatinge
60,Frank Herbert
61,Brian Herbert
62,Kevin J. Anderson
63,Gary Russell
64,Bryce Courtenay
65,John C. Maxwell
66,Stephen R. Graves
67,Thomas G. Addington
68,Dave Lakhani
69,Louis E. Catron
70,Adam Ginsberg
71,Marsha Collier
72,Chris Malta
73,Lisa Suttora
74,Julia Wilkinson
75,Lucas Carlson
76,Leonard Richardson
77,Ruby Ann Boxcar
78,Rob Orsini
79,Leo Tolstoy
80,Richard Pevear
81,Larissa Volokhonsky
82,David Magarshack
83,Priscilla Meyer
84,John Bayley
85,Marianne Sturman
86,Amy Mandelker
87,Constance Garnett
88,Louise Maude
89,Aylmer Maude
90,Gloria Goldreich
91,Anthony Thorlby
92,Mulk Raj Anand
93,E.M. Forster
94,John Banville
95,Eliot Ness
96,Oscar Fraley
97,Narendra Jadhav
98,V.T. Rajshekar
99,Y.N. Kly
100,Vasant Moon
101,Gail Omvedt
102,Eleanor Zelliot
103,Barry R. Cournoyer
104,John Carratello
105,Patty Carratello
106,Theresa Wright
107,George Smoot
108,Keay Davidson
109,Madeleine L Engle
110,Tara MacCarthy
111,Cynthia Harrod-Eagles
112,Charles Todd
